,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,trending,github_release_downloads
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2024-11-28 17:25:59,2024-11-28 17:25:33,3086.0,113.0,4872.0,320.0,1904.0,753.0,8815.0,23631.0,2024-11-27 19:42:58,@react-navigation/drawer@7.0.13,100.0,Routing and navigation for your React Native apps.,1069164.0,1069164.0,304.0,https://www.npmjs.com/package/@react-navigation/native,5323099.0,5323099.0,43,True,1,,,
1,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2024-11-22 16:25:32,2024-11-22 16:25:30,1610.0,23.0,4610.0,219.0,1264.0,63.0,3667.0,15164.0,2024-11-22 16:25:37,1.20.1,100.0,React Native Mapview component for iOS + Android.,187409.0,187409.0,508.0,https://www.npmjs.com/package/react-native-maps,1149288.0,1149288.0,42,True,1,MIT,,
2,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2024-11-28 16:50:00,2024-11-28 15:22:41,24534.0,1374.0,5551.0,302.0,17127.0,454.0,14574.0,34904.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source framework for making universal native apps with React. Expo runs on Android, iOS, and the web.",1056797.0,1056797.0,1530.0,,,,41,True,1,MIT,,
3,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2024-11-28 10:12:00,2024-09-15 18:05:08,632.0,2.0,2080.0,203.0,411.0,134.0,1122.0,17462.0,2024-09-15 18:06:03,10.2.0,70.0,Customizable Icons for React Native with support for image source and full styling.,638469.0,638469.0,150.0,https://www.npmjs.com/package/react-native-vector-icons,2528338.0,2528338.0,40,True,1,MIT,-1.0,
4,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2024-11-01 11:07:16,2024-11-01 11:06:56,829.0,10.0,1723.0,227.0,425.0,43.0,820.0,16760.0,2024-11-01 11:10:24,7.1.0,42.0,Lottie wrapper for React Native.,120765.0,120765.0,152.0,https://www.npmjs.com/package/lottie-react-native,1662968.0,1662968.0,40,True,1,Apache-2.0,,
5,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2024-11-19 18:53:07,2024-10-01 19:05:31,1472.0,14.0,3324.0,192.0,889.0,186.0,1478.0,13572.0,2024-10-01 19:12:38,2.6.4,75.0,The most complete chat UI for React Native.,30128.0,30128.0,224.0,https://www.npmjs.com/package/react-native-gifted-chat,186915.0,186915.0,40,True,1,MIT,,17.0
6,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2024-11-28 15:16:43,2024-11-28 15:13:45,2095.0,1.0,2072.0,121.0,1921.0,264.0,2268.0,13018.0,2024-07-28 18:34:09,5.12.5,100.0,Material Design for React Native (Android & iOS).,220620.0,220620.0,330.0,https://www.npmjs.com/package/react-native-paper,1169616.0,1169616.0,39,True,1,MIT,,
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2024-11-27 21:29:30,2024-11-21 16:45:14,8627.0,63.0,511.0,122.0,984.0,84.0,1795.0,11030.0,2024-11-12 13:27:19,37.3.2,100.0,A collection of composable React components for building interactive data visualizations.,26072.0,26072.0,245.0,https://www.npmjs.com/package/victory-native,519941.0,519941.0,39,True,1,,,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2024-11-28 16:37:46,2024-11-28 16:37:45,4400.0,129.0,701.0,322.0,2596.0,77.0,597.0,6582.0,2024-11-06 12:18:53,7.34.0,100.0,UI Components Library for React Native.,4427.0,4427.0,156.0,https://www.npmjs.com/package/react-native-ui-lib,226312.0,226312.0,37,True,2,MIT,,
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2024-05-01 22:24:47,2024-02-04 03:55:07,2427.0,,4576.0,371.0,1646.0,133.0,2003.0,25103.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,5.0,5.0,413.0,https://www.npmjs.com/package/react-native-elements,528507.0,528507.0,32,True,2,MIT,,
10,NativeBase,GeekyAnts/NativeBase,ui-frameworks,native-base,https://github.com/GeekyAnts/NativeBase,https://github.com/GeekyAnts/NativeBase,2016-04-15 11:37:23,2024-05-27 09:01:36,2023-08-04 14:18:44,6324.0,,2319.0,269.0,2262.0,276.0,3162.0,20232.0,2023-03-06 09:32:54,3.4.28,100.0,"Mobile-first, accessible components for React Native & Web to build consistent UI across Android, iOS and Web.",3.0,3.0,300.0,https://www.npmjs.com/package/native-base,288095.0,288095.0,31,True,2,MIT,,
11,Ignite,infinitered/ignite,app-frameworks,,https://github.com/infinitered/ignite,https://github.com/infinitered/ignite,2016-02-10 16:06:07,2024-11-27 18:59:21,2024-11-27 02:07:17,2683.0,80.0,1398.0,238.0,1233.0,34.0,1364.0,17767.0,2024-11-27 02:07:22,10.0.5,100.0,"Infinite Reds battle-tested React Native project boilerplate, along with a CLI, component/model generators, and more!..",3.0,3.0,233.0,,,,30,True,3,MIT,,
12,Shoutem UI,shoutem/ui,ui-frameworks,@shoutem/ui,https://github.com/shoutem/ui,https://github.com/shoutem/ui,2016-08-08 15:26:08,2024-10-21 11:48:01,2024-10-21 11:47:24,1337.0,13.0,438.0,90.0,539.0,103.0,216.0,4912.0,2024-07-09 08:58:59,7.0.2,85.0,Customizable set of components for React Native applications.,1446.0,1446.0,56.0,https://www.npmjs.com/package/@shoutem/ui,5463.0,5463.0,29,True,3,,,43.0
13,react-native-svg-charts,JesperLekland/react-native-svg-charts,chart-components,react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,2017-10-30 09:28:29,2024-08-21 01:06:53,2020-04-14 18:49:24,386.0,,396.0,15.0,157.0,186.0,275.0,2358.0,2019-07-06 17:27:57,5.3.0,24.0,One library to rule all charts for React Native.,8063.0,8063.0,39.0,https://www.npmjs.com/package/react-native-svg-charts,193651.0,193651.0,29,True,1,MIT,,
14,UI Kitten,akveo/react-native-ui-kitten,ui-frameworks,react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,2016-12-20 08:22:38,2024-07-03 09:35:54,2024-01-05 12:22:19,842.0,,935.0,127.0,579.0,164.0,1026.0,10353.0,2023-04-26 16:36:36,5.3.1,31.0,React Native UI Library based on Eva Design System Dark Mode.,11219.0,11219.0,63.0,https://www.npmjs.com/package/react-native-ui-kitten,1063.0,1063.0,28,True,3,MIT,-1.0,
15,react-native-chart-kit,indiespirit/react-native-chart-kit,chart-components,react-native-chart-kit,https://github.com/indiespirit/react-native-chart-kit,https://github.com/indiespirit/react-native-chart-kit,2017-12-20 02:30:08,2024-04-17 13:58:08,2022-02-08 04:03:57,336.0,,631.0,14.0,183.0,399.0,157.0,2878.0,,,,"React Native Chart Kit: Line Chart, Bezier Line Chart, Progress Ring, Bar chart, Pie chart, Contribution graph..",22695.0,22695.0,102.0,https://www.npmjs.com/package/react-native-chart-kit,261814.0,261814.0,28,True,2,MIT,,
16,RNMK,xinthink/react-native-material-kit,ui-frameworks,react-native-material-kit,https://github.com/xinthink/react-native-material-kit,https://github.com/xinthink/react-native-material-kit,2015-07-01 12:33:24,2023-01-04 06:15:00,2020-03-08 04:28:42,496.0,,554.0,102.0,163.0,151.0,156.0,4834.0,2016-12-18 05:14:29,0.3.4,15.0,Bringing Material Design to React Native.,1580.0,1580.0,76.0,https://www.npmjs.com/package/react-native-material-kit,863.0,863.0,26,True,3,MIT,,
17,react-native-charts-wrapper,wuxudong/react-native-charts-wrapper,chart-components,react-native-charts-wrapper,https://github.com/wuxudong/react-native-charts-wrapper,https://github.com/wuxudong/react-native-charts-wrapper,2017-03-03 07:58:57,2024-04-11 00:59:00,2024-02-05 04:47:54,341.0,,610.0,52.0,126.0,203.0,678.0,2448.0,2023-10-28 07:08:16,0.6.0,35.0,a react native charts wrapper (support android & iOS).,1655.0,1655.0,58.0,https://www.npmjs.com/package/react-native-charts-wrapper,42558.0,42558.0,26,True,2,,,
18,React Native Material UI,xotahal/react-native-material-ui,ui-frameworks,react-native-material-ui,https://github.com/xotahal/react-native-material-ui,https://github.com/xotahal/react-native-material-ui,2016-03-24 15:40:53,2023-04-19 08:31:36,2019-04-19 21:39:12,524.0,,582.0,87.0,205.0,172.0,146.0,3783.0,2019-04-20 05:02:31,2.0.0-alpha.1@deelop,20.0,Highly customizable material design components for React Native.,3012.0,3012.0,71.0,https://www.npmjs.com/package/react-native-material-ui,2076.0,2076.0,25,False,3,MIT,,
19,Galio,galio-org/galio,ui-frameworks,galio,https://github.com/galio-org/galio,https://github.com/galio-org/galio,2018-06-17 16:14:11,2023-04-20 22:58:40,2022-03-30 11:06:58,419.0,,321.0,54.0,131.0,48.0,86.0,3139.0,2022-03-30 11:08:29,0.8.1,11.0,"Galio is a beautifully designed, Free and Open Source React Native Framework.",3039.0,3039.0,37.0,https://www.npmjs.com/package/galio,,,23,True,3,MIT,,
20,Teaset,rilyu/teaset,ui-frameworks,teaset,https://github.com/rilyu/teaset,https://github.com/rilyu/teaset,2016-12-07 03:48:10,2021-05-29 08:52:27,2020-10-23 07:45:44,144.0,,464.0,70.0,29.0,188.0,246.0,2944.0,2020-04-01 09:07:17,0.7.4,20.0,"A UI library for react native, provides 20+ pure JS(ES6) components, focusing on content display and action control.",741.0,741.0,13.0,https://www.npmjs.com/package/teaset,299.0,299.0,23,True,3,MIT,,
21,react-native-graph,margelo/react-native-graph,chart-components,react-native-graph,https://github.com/margelo/react-native-graph,https://github.com/margelo/react-native-graph,2022-04-29 12:40:18,2024-08-05 03:57:14,2024-03-21 14:15:34,87.0,,113.0,16.0,46.0,29.0,42.0,2084.0,2024-03-12 12:21:35,1.1.0,6.0,"Beautiful, high-performance Graphs and Charts for React Native built with Skia.",256.0,256.0,13.0,https://www.npmjs.com/package/react-native-graph,24249.0,24249.0,22,True,2,MIT,,
22,react-native-pathjs-charts,capitalone/react-native-pathjs-charts,chart-components,react-native-pathjs-charts,https://github.com/capitalone/react-native-pathjs-charts,https://github.com/capitalone/react-native-pathjs-charts,2016-07-29 19:43:20,2018-03-01 15:28:09,2018-03-01 15:28:09,128.0,,247.0,35.0,74.0,72.0,87.0,879.0,2018-02-19 01:42:23,0.0.34,14.0,Android and iOS charts based on react-native-svg and paths-js.,684.0,684.0,27.0,https://www.npmjs.com/package/react-native-pathjs-charts,171.0,171.0,22,False,2,Apache-2.0,,
23,react-native-echarts,wuba/react-native-echarts,chart-components,@wuba/react-native-echarts,https://github.com/wuba/react-native-echarts,https://github.com/wuba/react-native-echarts,2023-01-09 06:12:24,2024-11-25 04:36:53,2024-11-25 04:36:46,165.0,34.0,25.0,19.0,102.0,28.0,72.0,764.0,2024-11-06 05:20:49,2.0.1,18.0,"React Native ECharts Library: An awesome charting library for React Native, built upon Apache ECharts and leveraging..",,,14.0,https://www.npmjs.com/package/@wuba/react-native-echarts,31387.0,31387.0,21,True,3,Apache-2.0,,
24,Nachos UI,nachos-ui/nachos-ui,ui-frameworks,nachos-ui,https://github.com/nachos-ui/nachos-ui,https://github.com/nachos-ui/nachos-ui,2017-01-30 14:22:09,2021-03-12 10:42:57,2018-08-15 19:47:46,58.0,,117.0,34.0,14.0,13.0,34.0,2068.0,,,,Nachos UI is a React Native component library.,346.0,346.0,10.0,https://www.npmjs.com/package/nachos-ui,114.0,114.0,18,False,3,MIT,,
25,react-native-highcharts,TradingPal/react-native-highcharts,chart-components,react-native-highcharts,https://github.com/TradingPal/react-native-highcharts,https://github.com/TradingPal/react-native-highcharts,2016-11-18 17:56:58,2022-03-23 08:45:14,2017-12-01 22:33:30,74.0,,126.0,9.0,32.0,59.0,40.0,255.0,,,,Add Highcharts charts to react-native app for IOS and Android.,286.0,286.0,5.0,https://www.npmjs.com/package/react-native-highcharts,318.0,318.0,15,False,3,,,
26,react-native-animated-charts,rainbow-me/react-native-animated-charts,chart-components,@rainbow-me/animated-charts,https://github.com/rainbow-me/react-native-animated-charts,https://github.com/rainbow-me/react-native-animated-charts,2020-09-14 19:18:48,2024-05-29 03:54:52,2021-10-25 17:08:17,19.0,,99.0,15.0,15.0,57.0,26.0,931.0,,,6.0,Set of components and helpers for building complex and beautifully animated charts.,5.0,5.0,5.0,https://www.npmjs.com/package/@rainbow-me/animated-charts,537.0,537.0,14,True,3,MIT,,
27,Material Kit React Native,creativetimofficial/material-kit-react-native,templates,material-kit-react-native,https://github.com/creativetimofficial/material-kit-react-native,https://github.com/creativetimofficial/material-kit-react-native,2019-01-09 12:35:13,2024-04-04 15:45:10,2023-08-14 11:30:34,67.0,,989.0,18.0,10.0,4.0,26.0,590.0,2023-08-14 11:31:19,1.10.0,9.0,Material Kit React Native.,,,9.0,https://www.npmjs.com/package/material-kit-react-native,,,14,True,1,MIT,,
28,react-native-skia-charts,vladanyes/react-native-skia-charts,chart-components,react-native-skia-charts,https://github.com/vladanyes/react-native-skia-charts,https://github.com/vladanyes/react-native-skia-charts,2022-12-28 17:49:18,2023-03-13 08:45:32,2023-03-13 08:45:20,54.0,,8.0,7.0,4.0,3.0,4.0,143.0,,,1.0,High-performance charts for react-native.,16.0,16.0,3.0,https://www.npmjs.com/package/react-native-skia-charts,600.0,600.0,12,True,3,MIT,,
29,react-native-charts,chartiful/react-native-charts,chart-components,@chartiful/react-native-chart-builder,,{},,,,,,,,,,,,,,,,,,,https://www.npmjs.com/package/@chartiful/react-native-chart-builder,958.0,958.0,2,False,3,,,
